,artist_individual,streams
7444,Leena,15687
1405,Bandmaster,15731
495,Aida el Ayoubi,15740
12379,Suzy,15813
1990,Bítlavinafélagið,15823
14819,الياس السته,15855
14480,marp$,15884
14567,shlukim,15980
8271,Majeeed,15993
8827,Mia Dimšić,16024
2315,Chiara Scanzerra,16035
1760,Bobby Blaze,16093
8177,Macky Gee,16121
6646,Karibe con K,16139
5039,HIGH4,16150
7547,Lil Chris,16160
5198,Hbkbanz,16160
825,Andrea,16232
13708,Westcoast G'z,16249
1318,BRUJA,16267
14352,eaJ,16321
2844,DOC,16345
14790,лиззка,16397
5049,HOZIHO,16429
2353,Choi Sung Ho,16429
9698,Nonso Amadi,16452
571,Alberto Vazquez,16472
3585,Dvwn,16497
6559,Kairo La Sinfonia,16510
378,Adam Bros,16561
14503,nFiX & Candice,16572
3471,Dony,16602
5987,Jean de la Craiova,16650
12227,Stefan de la Barbulesti,16650
403,Adi De La Valcea,16650
9573,Nicu Paleru,16650
10819,Rasputin,16650
7584,Lil Tracy,16667
13557,Vito Canzo,16687
8857,Midi Blosso,16689
3482,Doruk Kurt,16710
14783,ЯМАУГЛИ,16731
859,Ange Lo,16734
9327,NOTSOBAD,16781
725,Amanda Collis,16781
12027,Smvvth,16811
10850,RayLeon,16811
4872,Goyo,16852
9450,Ncredible Gang,16866
5687,J. ROUH,16879
10093,PINQ,16880
14406,herluv,16898
905,Annet X,16902
6596,Kamen,17009
11662,Seo,17062
3687,EbEE,17062
1852,Bratzbih,17062
10955,Reynir,17063
5155,Harijs Spanovskis,17064
14776,Сёстры,17081
839,Andris Alviķis,17186
6679,Kaspars Putnīņš,17186
4429,Fran Rozzano,17243
13189,Tublatanka,17287
3523,Dreamyvibz,17305
14580,spacejamtunes,17305
14703,Švidraň,17309
177,A-Europa,17351
8840,Michajlov,17407
9500,Neptune,17439
5698,JAEHA,17546
251,ALTÉGO,17601
4807,Ginuwine,17601
13383,Vaida,17725
3311,Diva Flawless,17776
14864,يوسف سوسته,17780
1848,Brandon Lake,17784
4447,Frankeyz,17791
7403,Lay Low,17826
8405,Mari-Liis,17845
3613,Dúmbó og Steini,17845
2061,Caater,17845
12239,Steini,17845
1424,Barry Jhay,17846
7684,Loqiemean,17847
12174,Sqweezey,17904
1193,Azana,17925
693,Ally Brooke,18019
7676,Lon'nie,18029
6360,Jumis,18076
3075,Davis Daniel,18242
4578,GEMIL,18252
8302,Malket,18277
5500,Idrissi,18277
6122,Joey B,18323
6992,Kofi Jamar,18323
5984,Jci,18452
13836,Y-DAPT,18475
1540,Benjamin Wallfisch,18481
8842,Michal Dočolomanský,18545
13569,Vladimir Dantes,18608
6188,JonTheProducer,18615
11600,SeLTa,18628
13734,WiFiGawd,18637
1363,Baegie,18687
13876,YUNG CHENS,18687
7196,LIL SMOOKY,18697
10700,RY X,18703
11794,Shira,18713
3549,Dubbo,18736
1588,Beyjan Beatz,18815
1647,Billo's Caracas Boys Vs. Los Melódicos,18832
6437,K.O,18857
7111,Kwesta,18857
10588,Putnu Balle,18913
675,Alina Burnet,18973
1545,Benny Adam,18990
10929,Renārs Kaupers,19001
11816,Showbiz School,19019
10124,PTAF,19110
2867,DUT2,19163
8848,Michel'le,19176
2207,Ceejay,19176
2402,Chuchu,19176
4806,Gints Sola,19178
14603,u.c.,19178
7612,Linda Leen,19178
14704,Ūdrītis,19178
5658,Ivo Fomins,19178
9718,Normunds Rutulis,19178
10922,Renge Miyauchi,19204
1857,Breakfast n Vegas,19224
2828,DJ Yonny,19224
3141,Delilah Montagu,19347
1893,Brooze,19399
7991,MC Gey,19406
14212,Zhao,19439
11781,Shift,19439
10905,Releve Maghreb,19491
13503,Vidiek,19507
14657,ÁSDÍS,19532
14912,吳君如,19566
4792,Gigi Leung,19566
10068,P1X3L,19637
14320,cherrytop,19642
