,Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond
373,AALIYAH,7.0,4,4,3,0
374,CASTING CROWNS,7.0,7,5,1,0
375,CINDERELLA,7.0,3,3,2,0
376,DOLLY PARTON,7.0,10,4,0,0
377,FOO FIGHTERS,7.0,7,7,0,0
378,FUGEES,7.0,1,1,1,0
379,FUTURE,7.0,8,4,1,0
380,GEORGE WINSTON,7.0,7,3,1,0
381,GOO GOO DOLLS,7.0,4,2,2,0
382,HANSON,7.0,5,3,1,0
383,JONI MITCHELL,7.0,9,3,1,0
384,JUVENILE,7.0,5,3,1,0
385,LOGGINS & MESSINA,7.0,7,5,1,0
386,MILES DAVIS,7.0,3,3,1,0
387,MONICA,7.0,4,2,2,0
388,O'JAYS,7.0,10,4,0,0
389,P. DIDDY & THE FAMILY,7.0,1,1,1,0
390,PANTERA,7.0,7,5,1,0
391,QUIET RIOT,7.0,2,2,1,0
392,RADIOHEAD,7.0,8,4,1,0
393,RICKY VAN SHELTON,7.0,9,5,0,0
394,SELENA,7.0,5,3,2,0
395,SHAKIRA,7.0,5,5,1,0
396,SKID ROW,7.0,2,2,2,0
397,SUPERTRAMP,7.0,6,2,1,0
398,SYSTEM OF A DOWN,7.0,5,5,1,0
399,T.I.,7.0,7,5,1,0
400,THE BLACK EYED PEAS,7.0,3,3,3,0
401,THIRD EYE BLIND,7.0,2,2,1,0
402,TRACY LAWRENCE,7.0,6,4,2,0
403,TRAIN,7.0,5,5,1,0
404,TWENTY ONE PILOTS,7.0,3,3,2,0
405,ALISON KRAUSS,6.5,7,2,2,0
406,B-52'S,6.5,5,2,1,0
407,BILLY IDOL,6.5,6,5,1,0
408,BING CROSBY,6.5,3,2,2,0
409,CEDARMONT KIDS,6.5,8,5,0,0
410,ENGELBERT HUMPERDINCK,6.5,10,1,1,0
411,ERYKAH BADU,6.5,4,3,2,0
412,EURYTHMICS,6.5,6,3,1,0
413,GLORIA ESTEFAN & MIAMI SOUND,6.5,3,2,2,0
414,H. ALPERT & THE TIJUANA BRASS,6.5,13,0,0,0
415,INDIGO GIRLS,6.5,7,4,1,0
416,IRON MAIDEN,6.5,8,5,0,0
417,JESSICA SIMPSON,6.5,5,2,2,0
418,LONESTAR,6.5,6,3,1,0
419,LORRIE MORGAN,6.5,7,4,1,0
420,MARVIN GAYE,6.5,6,3,1,0
421,MEGADETH,6.5,6,5,1,0
422,MERCYME,6.5,8,1,1,0
423,MILLI VANILLI,6.5,2,1,1,0
424,MISSY ELLIOTT,6.5,6,5,1,0
425,MY CHEMICAL ROMANCE,6.5,3,2,2,0
426,NATALIE MERCHANT,6.5,3,2,1,0
427,OAK RIDGE BOYS,6.5,8,3,1,0
428,ROBERT PLANT,6.5,6,3,1,0
429,TESLA,6.5,6,5,1,0
430,WEEZER,6.5,5,4,1,0
431,AL GREEN,6.0,8,2,1,0
432,BECK,6.0,8,2,1,0
433,BILLY OCEAN,6.0,4,4,2,0
434,BILLY SQUIER,6.0,3,3,2,0
435,BUSTA RHYMES,6.0,7,5,0,0
436,CULTURE CLUB,6.0,3,3,1,0
437,DIDO,6.0,2,2,2,0
438,FALL OUT BOY,6.0,6,4,1,0
439,FOGHAT,6.0,8,2,1,0
440,GORDON LIGHTFOOT,6.0,7,3,1,0
441,GRETCHEN WILSON,6.0,2,2,1,0
442,GWEN STEFANI,6.0,2,2,1,0
443,HELEN REDDY,6.0,8,2,1,0
444,HILARY DUFF,6.0,5,3,1,0
445,INCUBUS,6.0,5,3,2,0
446,JODECI,6.0,3,3,2,0
447,MUMFORD & SONS,6.0,3,3,2,0
448,OASIS,6.0,3,3,1,0
449,PARAMORE,6.0,5,3,1,0
450,PATTY LOVELESS,6.0,8,4,0,0
451,PITBULL,6.0,5,3,2,0
452,POINTER SISTERS,6.0,6,2,1,0
453,QUEENSRYCHE,6.0,5,3,1,0
454,ROBERTA FLACK,6.0,7,3,1,0
455,RONNIE MILSAP,6.0,8,2,1,0
